eventId; subEventName; tags; playerId; positions; matchId; eventName; teamId; matchPeriod; eventSec; subEventId; id 
10;Shot;[{'id': 101}, {'id': 402}, {'id': 201}, {'id': 1209}, {'id': 1801}];7941;[{'y': 53, 'x': 90}, {'y': 100, 'x': 100}];2499971;Shot;1633;1H;1771.001612;100;226632466
10;Shot;[{'id': 101}, {'id': 402}, {'id': 201}, {'id': 1209}, {'id': 1801}];91381;[{'y': 20, 'x': 82}, {'y': 0, 'x': 0}];2499971;Shot;1651;2H;822.155507;100;225850066
10;Shot;[{'id': 101}, {'id': 402}, {'id': 201}, {'id': 1204}, {'id': 1801}];15526;[{'y': 52, 'x': 81}, {'y': 0, 'x': 0}];2499971;Shot;1651;2H;1775.8575289999999;100;225850222
10;Shot;[{'id': 101}, {'id': 402}, {'id': 201}, {'id': 1209}, {'id': 1801}];70083;[{'y': 36, 'x': 78}, {'y': 100, 'x': 100}];2499972;Shot;1625;1H;1277.543347;100;225711125
10;Shot;[{'id': 101}, {'id': 401}, {'id': 201}, {'id': 1203}, {'id': 1801}];93;[{'y': 42, 'x': 93}, {'y': 0, 'x': 0}];2499972;Shot;1646;2H;2196.929717;100;225712362
10;Shot;[{'id': 101}, {'id': 402}, {'id': 201}, {'id': 1205}, {'id': 1801}];8620;[{'y': 45, 'x': 97}, {'y': 100, 'x': 100}];2499973;Shot;1613;1H;1302.05214;100;226098521
3;Penalty;[{'id': 101}, {'id': 402}, {'id': 1206}, {'id': 1801}];127537;[{'y': 50, 'x': 90}, {'y': 56, 'x': 97}];2499973;Free Kick;1628;2H;585.336288;35;226099200
10;Shot;[{'id': 101}, {'id': 402}, {'id': 201}, {'id': 1202}, {'id': 1801}];12829;[{'y': 44, 'x': 90}, {'y': 0, 'x': 0}];2499974;Shot;1631;1H;974.8807569999999;100;225801091
10;Shot;[{'id': 101}, {'id': 403}, {'id': 201}, {'id': 1206}, {'id': 1801}];21164;[{'y': 50, 'x': 93}, {'y': 100, 'x': 100}];2499974;Shot;10531;2H;435.22498300000007;100;225801921
10;Shot;[{'id': 101}, {'id': 401}, {'id': 1401}, {'id': 201}, {'id': 1202}, {'id': 1801}];120353;[{'y': 42, 'x': 91}, {'y': 0, 'x': 0}];2499975;Shot;1612;1H;133.926554;100;226139084
10;Shot;[{'id': 101}, {'id': 402}, {'id': 201}, {'id': 1208}, {'id': 1801}];61967;[{'y': 40, 'x': 76}, {'y': 100, 'x': 100}];2499975;Shot;1624;2H;2077.569549;100;226139027
10;Shot;[{'id': 101}, {'id': 401}, {'id': 201}, {'id': 1206}, {'id': 1801}];120353;[{'y': 56, 'x': 97}, {'y': 0, 'x': 0}];2499975;Shot;1612;2H;2736.2681970000003;100;226139856
3;Penalty;[{'id': 101}, {'id': 402}, {'id': 1202}, {'id': 1801}];8717;[{'y': 49, 'x': 90}, {'y': 68, 'x': 92}];2499975;Free Kick;1624;2H;2971.684281;35;226139199
10;Shot;[{'id': 101}, {'id': 401}, {'id': 201}, {'id': 1205}, {'id': 1801}];7905;[{'y': 44, 'x': 92}, {'y': 0, 'x': 0}];2499976;Shot;1611;2H;553.464328;100;225800175
10;Shot;[{'id': 101}, {'id': 401}, {'id': 201}, {'id': 1201}, {'id': 1801}];3361;[{'y': 45, 'x': 94}, {'y': 0, 'x': 0}];2499976;Shot;1611;2H;1361.6133790000004;100;225800377
3;Penalty;[{'id': 101}, {'id': 402}, {'id': 1205}, {'id': 1801}];8903;[{'y': 51, 'x': 90}, {'y': 64, 'x': 91}];2499977;Free Kick;1644;1H;2508.739313;35;226449279
10;Shot;[{'id': 101}, {'id': 402}, {'id': 201}, {'id': 1206}, {'id': 1801}];25707;[{'y': 41, 'x': 78}, {'y': 100, 'x': 100}];2499977;Shot;1610;2H;2180.0719820000004;100;226449987
10;Shot;[{'id': 101}, {'id': 401}, {'id': 201}, {'id': 1202}, {'id': 1801}];160;[{'y': 43, 'x': 88}, {'y': 0, 'x': 0}];2499977;Shot;1644;2H;2329.5954410000004;100;226449981
10;Shot;[{'id': 101}, {'id': 1901}, {'id': 401}, {'id': 201}, {'id': 1205}, {'id': 1801}];3348;[{'y': 57, 'x': 87}, {'y': 0, 'x': 0}];2499977;Shot;1644;2H;2536.195202;100;226450029
10;Shot;[{'id': 101}, {'id': 402}, {'id': 201}, {'id': 1204}, {'id': 1801}];20593;[{'y': 68, 'x': 89}, {'y': 0, 'x': 0}];2499977;Shot;1644;2H;2751.101751;100;226450102
10;Shot;[{'id': 101}, {'id': 403}, {'id': 201}, {'id': 1203}, {'id': 1801}];119951;[{'y': 47, 'x': 96}, {'y': 0, 'x': 0}];2499978;Shot;1627;1H;217.92483299999998;100;225855608
10;Shot;[{'id': 101}, {'id': 402}, {'id': 201}, {'id': 1208}, {'id': 1801}];29640;[{'y': 44, 'x': 73}, {'y': 100, 'x': 100}];2499978;Shot;1619;1H;2373.247571;100;225856032
10;Shot;[{'id': 101}, {'id': 403}, {'id': 201}, {'id': 1206}, {'id': 1801}];8136;[{'y': 30, 'x': 89}, {'y': 100, 'x': 100}];2499978;Shot;1619;1H;2568.256439;100;225856068
3;Free kick shot;[{'id': 101}, {'id': 402}, {'id': 1101}, {'id': 201}, {'id': 1202}, {'id': 1801}];8144;[{'y': 43, 'x': 76}, {'y': 100, 'x': 100}];2499978;Free Kick;1619;2H;589.956831;33;225856286
10;Shot;[{'id': 101}, {'id': 403}, {'id': 201}, {'id': 1206}, {'id': 1801}];3577;[{'y': 49, 'x': 93}, {'y': 0, 'x': 0}];2499978;Shot;1627;2H;1607.9435540000004;100;225856965
10;Shot;[{'id': 101}, {'id': 402}, {'id': 201}, {'id': 1205}, {'id': 1801}];25707;[{'y': 64, 'x': 91}, {'y': 0, 'x': 0}];2499979;Shot;1610;1H;1448.449834;100;227867741
10;Shot;[{'id': 101}, {'id': 401}, {'id': 201}, {'id': 1205}, {'id': 1801}];8625;[{'y': 53, 'x': 93}, {'y': 0, 'x': 0}];2499979;Shot;1610;2H;1073.8652380000003;100;227868524
10;Shot;[{'id': 101}, {'id': 401}, {'id': 201}, {'id': 1202}, {'id': 1801}];25707;[{'y': 67, 'x': 85}, {'y': 0, 'x': 0}];2499979;Shot;1610;2H;1517.7680529999998;100;227868695
